chr	coor_s	coor_e	ids1	chr2	coor_s2	coor_e2	ids2	identity
20	7830552	7832265	id3897	9	105709012	105710723	id6734	0.90936
19	54270126	54288058	id3406	19	54622823	54646223	id3417	0.936775
10	45676295	45806813	id800	9	73647648	73648855	id6641	0.907563
14	35388060	35389142	id1905	2	38481774	38482876	id3499	0.902957
1	48435701	48437770	id165	7	150512002	150514047	id6263	0.93787
11	129890963	129892005	id1277	7	28953375	28954442	id5829	0.901559
1	227624513	227633558	id524	11	26001034	26003798	id1038	0.909017
10	47458988	47780368	id814	9	73647648	73648855	id6641	0.902824
14	45855335	45856503	id1923	20	6368713	6369869	id3896	0.980104
1	1632457	1665030	id15	1	1699616	1730936	id18	0.973618
21	5966593	6161371	id4030	21	43376889	43571979	id4118	0.999245
16	3322735	3324272	id2375	8	42724417	42726249	id6372	0.921807
16	33765052	33770371	id2468	17	79726744	79732107	id2964	0.946921
13	40036354	40038981	id1726	2	179328831	179331796	id3764	0.925642
15	70858634	70860363	id2239	8	61578138	61579905	id6405	0.908353
1	1444514	1448930	id11	1	1496432	1502033	id13	0.950502
16	35802081	35803283	id2507	9	84078572	84080012	id6663	0.911172
7	74925883	75019510	id6093	7	100222037	100283848	id6151	0.962671
22	20678347	20699044	id4199	22	21057379	21062735	id4204	0.980755
13	18880034	18889402	id1623	22	29880407	29902476	id4292	0.918178
1	101786252	101787301	id247	13	67266749	67267782	id1793	0.936821
2	62560088	62561434	id3522	8	5071281	5072921	id6321	0.909021
7	57433356	57444255	id5945	7	64190743	64193203	id5995	0.910914
1	151247862	151249531	id337	6	7988189	7989865	id5445	0.931722
11	90200432	90203427	id1195	14	89734708	89738742	id1986	0.935584
16	33823272	34062003	id2474	17	38516174	38532272	id2800	0.967247
7	4968245	5009463	id5770	7	5760264	5762696	id5780	0.943278
10	30366693	30368163	id695	15	84400000	84574893	id2300	0.901547
19	21379721	21382002	id3190	5	62775375	62777345	id5177	0.925983
16	29303936	29449179	id2436	16	88010012	88046685	id2590	0.961494
19	41643270	41646306	id3307	3	48210403	48213529	id4464	0.993595
10	91910704	91911924	id903	12	76351796	76353001	id1514	0.960067
16	26031702	26032921	id2425	2	100589908	100591391	id3619	0.945876
15	40133772	40136813	id2160	2	201212295	201213741	id3791	0.909028
16	32643014	33214595	id2464	17	21825838	21844465	id2691	0.94698
16	31949832	32481700	id2459	19	1876976	1881805	id3107	0.91362
11	18209195	18214533	id1025	18	31756078	31760852	id3036	0.924135
7	53862238	53866881	id5893	9	19053142	19059001	id6547	0.983248
15	71163264	71165515	id2241	20	57487929	57489130	id4010	0.969517
17	59170514	59184829	id2889	7	76433860	76552786	id6105	0.906535
12	6536491	6538367	id1311	16	28239498	28240648	id2428	0.916084
13	29038899	29049029	id1707	13	29338636	29353714	id1710	0.919861
1	26817241	26819339	id92	19	29897898	29902388	id3247	0.977587
11	48879441	48974889	id1072	2	95507883	95529634	id3598	0.910068
18	60663455	60665502	id3067	5	98576338	98578446	id5241	0.903526
20	30617093	30761898	id3947	21	14055866	14069658	id4064	0.92996
5	175923361	176141794	id5370	5	177620793	177956262	id5377	0.992376
2	94571013	94947869	id3595	9	80849001	80852812	id6653	0.918002
14	106000761	106017498	id2028	14	106018370	106029466	id2029	0.907198
11	121236575	121240495	id1252	5	24747983	24751493	id5112	0.90805
2	41156532	41158190	id3501	9	88409561	88411498	id6674	0.911822
11	30336562	30338227	id1044	2	37149073	37150756	id3497	0.919033
10	21394016	21395040	id634	17	782362	784074	id2602	0.923529
12	131231933	131236542	id1589	12	131427651	131432530	id1600	0.958607
1	38862489	38864716	id136	16	72278524	72280769	id2558	0.936795
5	149035461	149036755	id5331	5	149114866	149116147	id5332	0.913522
5	170828152	170843282	id5357	5	178746267	178761608	id5390	0.920454
15	81208389	81209881	id2287	15	81228383	81229887	id2288	0.952253
17	57972571	57974902	id2884	3	193153545	193155884	id4715	0.968575
1	185098071	185101057	id437	9	6667939	6669544	id6535	0.945904
13	21315405	21366004	id1661	5	177440704	177442622	id5376	0.937168
10	42172160	42242910	id768	2	89851927	90063667	id3586	0.901879
11	49801815	49861899	id1078	11	89700751	89922445	id1191	0.952921
1	101880196	101882071	id248	15	72059181	72060399	id2242	0.953975
3	196986594	196987637	id4729	8	80558790	80559841	id6428	0.93314
14	18862644	19511713	id1861	17	27728805	27731714	id2726	0.906482
14	106880460	106883160	id2066	21	46672945	46699983	id4137	0.954817
3	13928403	13933398	id4408	3	14803858	14811240	id4412	0.901587
21	32562300	32564195	id4097	6	160785917	160788075	id5736	0.921951
2	128517288	128519259	id3676	9	86264550	86266192	id6666	0.968273
12	22008444	22009717	id1383	15	55441796	55443070	id2211	0.946499
10	43824878	43826692	id787	10	44292367	44294332	id788	0.901464
4	109346138	109347609	id4932	6	48211139	48214969	id5551	0.90728
12	33052202	33053399	id1415	16	553471	554634	id2353	0.908621
12	98794108	98795656	id1542	18	51611808	51613418	id3056	0.917412
22	18339129	18433513	id4179	22	23480999	23489014	id4236	0.920524
7	32617139	32681318	id5837	7	34951437	35015913	id5848	0.952964
12	42226835	42229436	id1438	9	38241234	38244961	id6602	0.974194
13	44594767	44596146	id1744	14	21162418	21163796	id1873	0.909692
17	30597880	30616027	id2747	17	64651600	64665626	id2913	0.922759
13	71997529	71998740	id1801	6	60718603	61018658	id5574	0.942723
3	129999065	130212775	id4602	7	6919654	7000220	id5791	0.942196
11	117335579	117336683	id1240	19	39942631	39943734	id3293	0.935065
10	13156504	13157649	id607	14	93293679	93294842	id1997	0.950218
1	179455318	179457397	id425	13	52642431	52643798	id1774	0.931213
19	20714335	20718620	id3179	8	24746948	24751412	id6350	0.908406
12	87144334	87145575	id1520	3	173031553	173032801	id4677	0.90236
19	58586599	58607616	id3447	4	10000	37399	id4747	0.940008
3	116644228	116646726	id4560	3	172424185	172426654	id4674	0.948227
1	81426415	81428322	id211	12	51711726	51713612	id1458	0.914156
5	17600000	17639008	id5092	5	17639276	17643456	id5093	0.918666
22	18159723	18239129	id4178	22	19023255	19035499	id4188	0.973812
1	83132476	83181767	id215	7	76553028	76602289	id6106	0.985558
5	686007	767203	id5058	5	778075	815599	id5061	0.981933
17	31008336	31033712	id2749	17	64584086	64602898	id2912	0.920151
14	74877841	74878863	id1975	16	26111401	26112444	id2426	0.951076
1	11022121	11024040	id38	20	6199601	6201484	id3895	0.903761
4	86913357	86914904	id4900	5	74798896	74800396	id5198	0.907493
13	34499102	34500201	id1715	8	58822438	58823539	id6401	0.937843
13	81689893	81691094	id1806	3	117026523	117027713	id4561	0.948097
2	126555292	126558262	id3668	8	100918575	100920752	id6462	0.964467
12	69092409	69094478	id1504	4	106556000	106558071	id4928	0.947343
1	10000	207666	id1	15	101861028	101981189	id2346	0.992918
16	28327647	28471892	id2429	18	11614823	11643852	id2994	0.979071
12	24583132	24585103	id1386	8	126072566	126074248	id6485	0.902062
22	32170391	32172935	id4304	22	36127120	36129313	id4313	0.909343
10	38595718	38597408	id756	7	65106601	65219156	id6009	0.936855
2	189311190	189312586	id3773	4	40020223	40021587	id4809	0.903624
19	4883936	4886651	id3111	19	4886716	4888872	id3112	0.920524
13	52642431	52643798	id1774	3	80216244	80217696	id4505	0.906498
16	36130232	36131818	id2509	16	36173916	36175500	id2511	0.900513
1	24832261	24834970	id83	7	149554390	149555870	id6252	0.937692
4	10000	37399	id4747	4	190173121	190204555	id5045	0.935619
2	175698456	175700129	id3752	2	175704879	175706555	id3753	0.985048
21	8522360	8706715	id4042	7	53121615	53145873	id5891	0.934989
5	37288147	37289709	id5129	6	139058943	139060107	id5694	0.940363
15	23276874	23374764	id2090	15	28269583	28273447	id2114	0.929825
10	42066265	42165829	id767	16	46413868	46466597	id2515	0.952282
15	75680569	75695830	id2259	15	82304055	82534139	id2294	0.903943
5	99467941	99542484	id5244	5	100374704	100401226	id5250	0.987179
12	12110880	12112192	id1361	14	92026419	92027573	id1994	0.955066
1	15454045	15472435	id48	1	15473454	15491767	id49	0.907565
1	155433139	155434519	id360	8	127415826	127417210	id6488	0.964364
19	13139375	13141128	id3136	9	33288235	33289993	id6564	0.960784
2	131433204	131791111	id3686	22	10834643	10874572	id4141	0.956351
3	153067168	153068376	id4645	9	84078572	84080012	id6663	0.908654
15	75323039	75339445	id2255	15	75747573	75758851	id2262	0.920903
10	24619472	24621370	id642	6	80067737	80069632	id5608	0.987335
1	27206827	27208747	id94	2	4513878	4515150	id3466	0.916601
16	31949832	32481700	id2459	5	18817057	18821252	id5098	0.923747
1	173139726	173142372	id417	16	58707135	58708296	id2538	0.90267
19	19825210	19828978	id3168	19	21379721	21382002	id3190	0.931052
11	123057491	123061332	id1259	7	10451232	10453500	id5795	0.950595
6	149991510	150004918	id5709	6	150058379	150065190	id5714	0.922078
5	99467941	99542484	id5244	5	100055044	100107193	id5248	0.987861
1	143720132	144550481	id311	2	89753993	89772441	id3585	0.95842
13	24512966	24516389	id1679	13	24928256	24931937	id1686	0.904662
16	29127492	29302873	id2435	16	88133852	88277048	id2592	0.974878
5	167858540	167861073	id5351	6	133663840	133666214	id5680	0.973769
5	111729302	111731048	id5257	8	53712610	53714473	id6392	0.976275
11	13493127	13494781	id1010	2	8728932	8730579	id3471	0.954878
3	15373955	15375760	id4415	3	141863858	141865368	id4629	0.907407
10	98431842	98435774	id920	22	36534514	36537489	id4314	0.942029
20	25752456	26189680	id3923	4	34426969	34462209	id4801	0.951843
15	75321412	75322455	id2254	15	81117277	81118340	id2286	0.907767
16	3322735	3324272	id2375	3	182610652	182611909	id4696	0.905912
22	32111378	32113026	id4299	6	92333392	92335037	id5625	0.955015
11	73580149	73581344	id1162	7	121956247	121957369	id6189	0.903558
14	64894126	64896817	id1959	22	23853822	23856326	id4247	0.967938
2	113603235	113652133	id3663	2	113652180	113672162	id3664	0.966799
15	72899078	72900361	id2247	8	61202248	61203556	id6404	0.902821
1	27325329	27326527	id95	5	15451396	15452556	id5088	0.902887
4	68504930	68570073	id4838	4	68622231	68672273	id4839	0.941213
16	26031702	26032921	id2425	2	70803053	70804251	id3535	0.925147
15	52045829	52047016	id2206	21	22437885	22438958	id4074	0.908491
17	16380059	16399923	id2647	17	22197649	22229708	id2695	0.935731
1	44103046	44104705	id152	11	119602649	119604382	id1249	0.903391
1	76699755	76700958	id200	7	129055985	129057149	id6205	0.91782
17	27732022	27739323	id2727	17	30501806	30509253	id2743	0.900779
7	57185759	57199884	id5937	7	64104134	64112197	id5986	0.922854
6	22724859	22726695	id5459	6	67257136	67258959	id5589	0.964325
5	686007	767203	id5058	5	817643	819500	id5063	0.909737
19	40889272	40906189	id3297	19	41044136	41064439	id3302	0.93724
14	52777261	52778458	id1939	2	189822700	189824484	id3774	0.945194
3	120499487	120500668	id4564	7	104667731	104671583	id6171	0.935031
7	56031858	56069924	id5912	7	65725032	65795983	id6013	0.900106
21	13429266	13986920	id4060	3	77782414	77788815	id4499	0.91817
1	148436939	149366538	id332	5	50665371	50689026	id5151	0.961417
17	18384909	18569991	id2659	17	76044985	76046347	id2956	0.95
12	58245506	58246833	id1486	2	47815167	47816168	id3508	0.905
6	60000	162092	id5415	7	10238	41033	id5759	0.942065
15	72059181	72060399	id2242	18	60014639	60017467	id3064	0.980558
7	38655193	38656872	id5864	8	61578138	61579905	id6405	0.905614
10	27095817	27096893	id662	10	27106198	27107450	id663	0.970121
13	89832822	89834065	id1813	8	42724417	42726249	id6372	0.907549
1	119989247	120533096	id288	17	4831017	4833067	id2626	0.969518
4	143823928	144099864	id4975	4	144115806	144149194	id4976	0.972078
7	133168001	133170601	id6212	7	139502371	139503842	id6223	0.912116
11	18131695	18143463	id1022	11	18163962	18179183	id1023	0.914577
17	59170514	59184829	id2889	7	102335163	102378803	id6166	0.905594
6	149985066	149988632	id5708	6	150033663	150036969	id5711	0.90298
12	3071029	3072169	id1301	14	55766157	55767278	id1943	0.911253
22	25258590	25284823	id4265	22	25515602	25532252	id4277	0.960257
12	51711726	51713612	id1458	3	75214494	75215648	id4485	0.958371
14	106060859	106062778	id2030	14	106112778	106153251	id2033	0.915352
12	56510939	56513190	id1479	5	21882525	21884766	id5104	0.960573
6	34279685	34280942	id5534	8	75620002	75621271	id6423	0.937052
15	21828502	22221065	id2077	17	31256172	31268283	id2757	0.921922
3	9987586	9995583	id4383	3	10042731	10074351	id4389	0.910128
14	106880460	106883160	id2066	17	83204546	83247136	id2972	0.94711
15	34378801	34437851	id2140	17	1230762	1231799	id2607	0.944828
16	5365698	5367008	id2379	5	93682503	93683817	id5233	0.903577
10	42742607	42761549	id774	22	15200000	15934152	id4157	0.904565
14	39384543	39387128	id1915	17	56949680	56961045	id2882	0.933924
19	20310654	20316426	id3174	4	1811478	1812680	id4765	0.937279
12	104030723	104032476	id1552	3	9348393	9350081	id4378	0.904704
7	63382524	63852324	id5973	7	63918317	63959371	id5978	0.913938
19	53426019	53429018	id3393	19	53512125	53515439	id3398	0.962926
10	38597965	38783421	id757	9	43236167	43270903	id6612	0.97233
1	121851740	121857055	id298	5	50361294	50369256	id5144	0.940476
4	189875037	189975781	id5042	9	63823720	63916428	id6627	0.947447
1	12780114	12799974	id40	1	12855323	12954384	id44	0.950078
14	94726207	94727258	id2001	4	80161047	80162096	id4883	0.914894
19	15727906	15728953	id3153	19	15793911	15794958	id3154	0.927412
13	18889414	18928257	id1624	4	59785630	59802395	id4828	0.918652
13	22851772	22854142	id1668	4	99896247	99897970	id4912	0.949678
13	30459852	30461536	id1711	2	170600144	170602334	id3741	0.953416
12	50478631	50480004	id1456	15	94076242	94077624	id2331	0.96941
1	96446864	96448625	id241	15	52936831	52938583	id2210	0.921143
1	222468106	222520800	id507	17	60000	141849	id2599	0.968971
10	79649777	79908397	id872	17	22653896	22655021	id2702	0.914645
1	146053738	146905930	id319	11	93944038	93945391	id1201	0.994807
15	36613401	36615477	id2152	2	230571881	230573956	id3836	0.947652
5	37480521	37487479	id5132	5	99467941	99542484	id5244	0.970426
4	184909079	184913083	id5024	5	24747983	24751493	id5112	0.908225
11	112152465	112153606	id1224	2	62715467	62716634	id3523	0.921986
2	89851927	90063667	id3586	22	16850819	16912063	id4170	0.900883
1	119989247	120533096	id288	1	147101242	147105903	id324	0.939973
12	43568542	43572178	id1441	8	78759228	78762579	id6426	0.944882
16	33442411	33764989	id2467	22	46139130	46141577	id4352	0.95094
18	14171468	14731731	id3014	3	77778315	77780415	id4498	0.918299
10	131967685	131970972	id956	14	28264833	28265974	id1892	0.984238
19	19793692	19795663	id3166	3	101357470	101359274	id4539	0.904362
10	79649777	79908397	id872	2	127884990	127887187	id3673	0.985381
6	90399489	90401655	id5624	7	35910278	35981126	id5854	0.920223
3	94058088	94061523	id4520	5	80626227	80629165	id5214	0.902219
1	10000	207666	id1	4	118591678	118671407	id4951	0.980974
19	19775645	19781478	id3164	19	20047595	20053191	id3170	0.902609
21	13429266	13986920	id4060	6	102650361	102651984	id5634	0.959391
21	32428131	32441079	id4091	4	3881337	4240270	id4771	0.928938
1	16617272	16688784	id58	1	16905457	16954362	id64	0.942505
13	45913978	45915441	id1749	4	106256398	106257854	id4927	0.934438
19	44352768	44416314	id3319	22	12028037	12225588	id4150	0.910847
5	93682503	93683817	id5233	7	149333914	149335174	id6250	0.930833
12	19455942	19457718	id1378	7	22489733	22541005	id5810	0.942824
3	75338620	75551296	id4489	3	123709439	123716978	id4573	0.947595
13	18408106	18876015	id1621	2	137882386	137936034	id3699	0.927991
7	65942618	65949300	id6017	7	65997715	65999584	id6019	0.913681
9	93323368	93324914	id6692	9	93365719	93367276	id6696	0.943726
15	23449438	23450769	id2093	15	44110928	44112142	id2177	0.93817
12	20552862	20554360	id1380	19	4960654	4962152	id3113	0.996653
2	69698380	69708907	id3530	7	4968245	5009463	id5770	0.934261
17	16679149	16875883	id2652	17	37832870	37836264	id2795	0.92245
5	141987731	141989189	id5325	7	135128443	135131132	id6215	0.942877
8	79170450	79171698	id6427	9	70896677	70897921	id6639	0.995981
2	203040094	203041349	id3797	5	143332618	143334739	id5326	0.903468
21	9249135	9377143	id4047	3	75719069	75866151	id4491	0.94524
12	6536491	6538367	id1311	5	159950294	159951470	id5346	0.907076
2	232364862	232366002	id3844	2	232438402	232440924	id3848	0.930776
15	71163264	71165515	id2241	15	89135084	89136598	id2314	0.924464
1	153402398	153428646	id349	1	153444663	153468435	id350	0.931482
22	23511082	23552138	id4239	9	129395315	129423850	id6764	0.902984
15	22274518	22281535	id2080	22	48620180	48621405	id4357	0.912785
1	111379752	111381556	id268	3	42784297	42785321	id4451	0.968597
10	23365370	23366546	id640	5	118283562	118284740	id5269	0.979522
4	99989949	99991490	id4914	5	117778049	117779607	id5268	0.902637
11	130295026	130297369	id1279	6	18363095	18365461	id5454	0.920726
14	66760503	66762148	id1961	8	5071281	5072921	id6321	0.907763
14	58521027	58522646	id1951	16	11242465	11244625	id2385	0.903774
1	13122521	13393767	id46	5	65732270	65734552	id5180	0.982379
11	122613346	122614643	id1256	9	34917096	34918393	id6587	0.90676
14	92026419	92027573	id1994	7	138402930	138404999	id6221	0.918871
8	23118331	23121681	id6346	8	23216773	23219961	id6347	0.914931
7	66567908	66589703	id6035	7	66752276	66790446	id6046	0.920764
11	49801815	49861899	id1078	2	97005693	97040719	id3605	0.903797
2	134606908	134608361	id3689	2	134608451	134609921	id3690	0.977449
1	28742734	28743987	id103	14	39215063	39216312	id1914	0.979984
15	35400628	35402465	id2149	8	141459007	141460760	id6504	0.9022
5	67326626	67327807	id5181	5	67327912	67328965	id5182	0.956395
15	52063899	52066261	id2207	21	22435045	22437372	id4073	0.904804
7	72846677	73174784	id6077	7	100222037	100283848	id6151	0.965179
1	180963919	180966466	id429	1	181048638	181051139	id431	0.926136
1	235738008	235739616	id541	2	41819723	41821656	id3502	0.920053
20	5291104	5292433	id3891	4	102796133	102797460	id4918	0.974359
3	37787963	37790448	id4442	7	93844783	93847109	id6133	0.916589
17	59170514	59184829	id2889	7	100297538	100354352	id6153	0.904542
1	227597450	227599401	id523	2	157378489	157380505	id3725	0.939577
15	71163264	71165515	id2241	2	230514923	230516086	id3835	0.930856
7	76649912	76651044	id6108	7	102335163	102378803	id6166	0.934486
14	57642462	57643607	id1949	7	10658504	10659676	id5796	0.971831
11	35860184	35861591	id1052	3	12787325	12788707	id4398	0.9126
11	48400000	48531434	id1066	11	49969317	49976049	id1082	0.948354
10	64825516	64826885	id852	9	33624220	33625354	id6571	0.91119
5	109049596	109052473	id5254	6	121446831	121449703	id5668	0.970959
22	21151091	21443089	id4206	9	135484446	135488643	id6781	0.906808
3	11484535	11492484	id4391	5	178517596	178519128	id5386	0.982114
17	35802225	35804051	id2781	17	36041158	36043009	id2788	0.964758
7	149488798	149498510	id6251	7	149603826	149625456	id6257	0.911036
15	28249983	28260102	id2113	15	28282650	28463178	id2115	0.918812
14	106096751	106112697	id2032	14	106567395	106582578	id2049	0.900556
2	95399415	95496989	id3597	2	95572192	95744193	id3601	0.993762
15	71163264	71165515	id2241	6	75318568	75320067	id5602	0.935788
12	106015806	106018409	id1555	8	133407605	133409530	id6495	0.955318
7	5138104	5169141	id5773	7	5799736	5829432	id5782	0.936529
12	14216581	14221614	id1365	8	128377555	128382079	id6489	0.901497
1	33050982	33053497	id127	3	11484535	11492484	id4391	0.984716
9	60829521	61003887	id6616	9	61053887	61231966	id6617	0.995206
2	110228182	110276168	id3644	2	110695526	110699475	id3646	0.996195
13	19377734	19520402	id1639	13	24579423	24604488	id1683	0.961878
15	28167648	28176609	id2111	15	30784115	30824834	id2130	0.949301
7	149930517	150306674	id6260	7	152803237	152845984	id6277	0.987516
13	81689893	81691094	id1806	20	18011791	18013067	id3907	0.926023
2	108493300	108530426	id3633	2	109731396	110101714	id3641	0.975264
2	151577838	151599082	id3715	2	151600000	151609620	id3716	0.992923
11	107176212	107177753	id1218	9	32945898	32947461	id6563	0.9
20	43296591	43297680	id3970	5	136775642	136776750	id5292	0.935365
14	106112778	106153251	id2033	14	106231790	106235674	id2036	0.912812
5	154494745	154496702	id5339	8	17298061	17299765	id6339	0.920268
18	7134170	7136004	id2980	6	65787929	65792999	id5585	0.912026
20	47871368	47872976	id3978	20	48523457	48525055	id3988	0.928481
15	45555653	45556740	id2195	16	35802081	35803283	id2507	0.904364
20	63639707	63642299	id4016	22	25177661	25179556	id4262	0.977552
16	34917924	34946364	id2498	7	62026104	62335063	id5958	0.93547
11	68403076	68407506	id1150	22	25350903	25382596	id4270	0.903056
14	34893954	34896184	id1903	9	127372148	127374016	id6759	0.902913
2	207078463	207081266	id3807	3	170950098	170952898	id4671	0.940472
10	133622566	133690422	id969	20	29413577	29447273	id3933	0.953116
15	48348529	48349600	id2199	2	226493611	226494704	id3827	0.946529
16	10839590	10841553	id2383	6	80063488	80065979	id5607	0.937339
22	23594547	23602870	id4241	22	25428803	25435365	id4274	0.961769
7	66411578	66412684	id6027	7	66862560	66868628	id6053	0.913124
1	156556929	156559149	id376	16	30168453	30170912	id2438	0.920328
22	11428056	11497337	id4146	3	75719069	75866151	id4491	0.935602
17	16679149	16875883	id2652	17	17001982	17017820	id2655	0.966531
17	60172722	60221224	id2895	17	62277796	62298462	id2902	0.98762
13	19219714	19231393	id1635	13	19743840	19756063	id1649	0.936218
1	81721611	81725754	id213	1	210265397	210267291	id493	0.924851
8	53536360	53541568	id6391	8	109470137	109472251	id6470	0.920839
14	73527707	73553592	id1973	14	73555731	73585769	id1974	0.957967
9	133303380	133318732	id6773	9	135512728	135525234	id6782	0.902479
10	46561416	46991847	id811	14	87952529	87954008	id1984	0.952251
12	98794108	98795656	id1542	18	57838429	57839810	id3058	0.926871
18	26167857	26171297	id3026	3	94058088	94061523	id4520	0.911295
15	52885517	52886548	id2209	19	23827080	23828135	id3239	0.93399
22	18159723	18239129	id4178	22	18339129	18433513	id4179	0.984151
5	43586362	43587485	id5143	6	110892160	110894169	id5646	0.94826
11	60000	196824	id971	7	10238	41033	id5759	0.988481
11	18189441	18191225	id1024	12	109850942	109852739	id1558	0.944162
4	714894	716112	id4759	4	716161	717379	id4760	0.942786
1	17406761	17409197	id66	6	56429642	56433132	id5562	0.916809
1	16761934	16799163	id62	1	234783386	234820600	id537	0.993385
1	222468106	222520800	id507	7	55735723	55763036	id5904	0.954683
3	957567	959277	id4367	7	43043580	43044638	id5876	0.917485
4	110422931	110450748	id4938	7	63169055	63193605	id5971	0.932425
20	31061799	31063303	id3951	20	31063419	31064888	id3952	0.926566
1	585988	817292	id4	8	387414	449949	id6305	0.97826
7	23480667	23482580	id5813	8	53712610	53714473	id6392	0.957906
1	36303794	36305334	id132	3	31454634	31457228	id4431	0.925609
1	8893201	8894618	id36	14	60971442	60972574	id1953	0.928636
15	19987818	20428912	id2068	2	13439907	13457315	id3479	0.962022
1	120533238	120955894	id289	5	50589251	50644997	id5149	0.95759
1	585988	817292	id4	7	55735723	55763036	id5904	0.943664
11	16483362	16484705	id1018	19	33360113	33361461	id3249	0.906203
10	89457755	89459161	id898	6	134657655	134659109	id5683	0.925608
1	29680812	29682594	id110	1	30516434	30518191	id119	0.931082
16	34766301	34901484	id2497	7	60878234	60913096	id5952	0.947748
5	56192547	56199584	id5165	7	7238252	7248619	id5793	0.927187
18	14171468	14731731	id3014	5	18727328	18732649	id5096	0.914303
7	64889501	64892075	id6006	7	64944883	64947483	id6007	0.904781
1	210265397	210267291	id493	12	106015806	106018409	id1555	0.931507
19	37026486	37029999	id3272	19	37784223	37788384	id3280	0.925287
15	19987818	20428912	id2068	22	31065390	31078993	id4297	0.965369
21	6211371	6377258	id4031	21	7550890	7693700	id4038	0.999976
2	173540424	173544076	id3746	4	14980353	14983931	id4781	0.911504
10	18555384	18556619	id624	10	18557239	18558476	id625	0.938188
12	2694844	2695980	id1298	12	2743076	2744202	id1300	0.92576
7	65007222	65106458	id6008	7	66364013	66370573	id6025	0.915445
2	88933701	88958143	id3581	2	90077758	90190711	id3587	0.901202
12	14786475	14787495	id1368	2	127249353	127250671	id3671	0.934653
7	143521768	143650804	id6238	7	144178590	144186940	id6243	0.954896
16	72728567	72729963	id2559	5	123636082	123637472	id5278	0.907544
1	105889534	105890633	id257	6	9660610	9661674	id5447	0.92823
2	189311190	189312586	id3773	20	49956695	49958096	id3991	0.902386
14	35429748	35431326	id1906	3	136735802	136737235	id4615	0.943317
17	44179358	44181730	id2841	8	127311580	127317906	id6487	0.951219
7	121398402	121399896	id6188	8	33968693	33969947	id6365	0.922213
1	215408219	215417253	id499	1	215447416	215451113	id500	0.96204
3	42889305	42890634	id4452	7	84983494	84984852	id6118	0.924485
15	22358242	22768868	id2083	3	33837284	33859669	id4436	0.961625
17	32150376	32151571	id2765	5	122675725	122680538	id5275	0.938433
1	113449658	113451127	id271	3	75214494	75215648	id4485	0.981308
22	23432025	23461151	id4234	7	1875028	1876940	id5766	0.976427
10	30517263	30518901	id697	2	201063020	201064765	id3788	0.902082
16	11924729	11943684	id2388	16	21729103	21937123	id2417	0.974611
11	67706564	67996174	id1146	16	5206074	5213441	id2377	0.939121
1	27206827	27208747	id94	13	27696092	27697237	id1701	0.908845
1	16905457	16954362	id64	1	21432917	21438054	id72	0.920283
6	32049262	32051198	id5516	6	32067652	32068669	id5519	0.936946
16	857421	858589	id2354	16	858629	859907	id2355	0.940017
4	68895470	68901048	id4846	4	69069499	69075776	id4851	0.908333
14	76633186	76635740	id1979	6	28731937	28732984	id5479	0.901152
4	184909079	184913083	id5024	7	30543632	30546186	id5835	0.905367
22	23553526	23577255	id4240	22	25314206	25328057	id4267	0.935202
3	160100746	160102914	id4660	6	111429713	111431904	id5649	0.942539
1	223856426	223857447	id509	16	52934749	52936583	id2524	0.910609
1	176614672	176616385	id421	6	63580056	63581446	id5580	0.931009
12	92883697	92885038	id1530	2	206418965	206420314	id3805	0.927987
21	9090790	9196087	id4046	22	12868137	12904788	id4156	0.963133
16	90096978	90228345	id2598	17	60000	141849	id2599	0.990585
7	72846677	73174784	id6077	7	100283857	100296978	id6152	0.965311
8	21310479	21312253	id6344	8	21312365	21314259	id6345	0.901882
11	130295026	130297369	id1279	14	69083350	69085699	id1966	0.92202
19	42702202	42971779	id3309	19	43133183	43242055	id3311	0.947805
9	61053887	61231966	id6617	9	61281966	61468808	id6618	0.988908
10	52784777	52785883	id825	4	55229942	55230989	id4823	0.932945
1	21439789	21486582	id73	1	119836179	119862825	id287	0.915179
15	71063029	71064066	id2240	8	28299616	28300635	id6358	0.905419
6	31281586	31283632	id5505	6	31361408	31363431	id5507	0.925163
11	4943747	4948526	id998	11	4952101	4957158	id999	0.916987
13	18408106	18876015	id1621	2	137936535	137943872	id3700	0.930958
4	69156144	69158570	id4853	4	69322518	69324965	id4855	0.941225
6	25023015	25024581	id5463	9	32945898	32947461	id6563	0.902329
9	93327823	93330269	id6693	9	93354551	93356328	id6695	0.901416
1	347968	535988	id3	7	55792352	55798826	id5907	0.92
3	150624809	150630436	id4641	9	6278943	6281989	id6532	0.975075
2	46580925	46583116	id3505	2	130002976	130241112	id3679	0.980046
14	68886522	68888183	id1965	15	92711693	92712921	id2328	0.950545
15	28282650	28463178	id2115	19	1876976	1881805	id3107	0.918718
7	4968245	5009463	id5770	7	5780599	5790182	id5781	0.930175
11	49871381	49893829	id1080	11	89923848	90097515	id1192	0.914963
13	21308462	21309665	id1659	18	44900712	44901941	id3044	0.947631
11	100988716	100991710	id1211	2	131172121	131401549	id3684	0.934132
15	77314069	77315649	id2272	8	73045958	73047749	id6418	0.961115
4	169792456	169795009	id5011	4	169877313	169879863	id5012	0.978414
14	46915315	46916427	id1925	8	130272995	130274097	id6492	0.977314
16	48600117	48601492	id2521	6	27779772	27781157	id5473	0.907489
14	68886522	68888183	id1965	17	43144844	43146711	id2830	0.904459
